X,Y,Z,intensity,ring,dist
0.543835,-0.710535,0.046893,13.0,9,0.54383504390716553
0.544807,-0.712062,0.0784402,42.0,10,0.54480677843093872
1.00555,-1.31521,0.203278,19.0,11,1.0055514574050903
0.637515,-0.83474,0.204166,0.0,13,0.63751488924026489
0.632513,-0.82879,0.240698,0.0,14,0.63251250982284546
0.494864,-0.648662,-0.0142412,1.0,7,0.49486422538757324
0.63963,-0.838723,0.28263,1.0,15,0.63963037729263306
0.565259,-0.743353,0.0163005,15.0,8,0.56525850296020508
0.541351,-0.712429,0.046893,12.0,9,0.54135149717330933
0.532677,-0.701267,0.0770457,43.0,10,0.53267669677734375
0.668503,-0.88072,0.135762,7.0,11,0.66850310564041138
0.639342,-0.843218,0.205692,0.0,13,0.63934189081192017
0.624908,-0.82478,0.238898,0.0,14,0.6249082088470459
0.622705,-0.822469,0.276419,1.0,15,0.62270539999008179
0.557841,-0.738937,0.0161609,18.0,8,0.55784094333648682
0.546078,-0.723881,0.0475211,12.0,9,0.54607826471328735
0.525427,-0.696759,0.0763484,45.0,10,0.52542716264724731
0.670203,-0.88939,0.136737,12.0,11,0.67020338773727417
0.605696,-0.804663,0.19577,0.0,13,0.60569643974304199
0.622025,-0.826956,0.238898,0.0,14,0.62202537059783936
0.601259,-0.799929,0.268137,1.0,15,0.60125893354415894
0.545664,-0.728079,0.0158817,28.0,8,0.54566407203674316
0.544745,-0.727382,0.0476257,12.0,9,0.54474538564682007
0.524186,-0.700184,0.0765227,42.0,10,0.52418583631515503
0.655204,-0.875829,0.1343,18.0,11,0.65520358085632324
0.619337,-0.828789,0.201113,0.0,13,0.61933696269989014
0.623799,-0.835368,0.240698,0.0,14,0.6237989068031311
0.616948,-0.826796,0.276419,1.0,15,0.61694836616516113
0.549088,-0.738001,0.0160562,21.0,8,0.54908758401870728
0.538628,-0.72447,0.0473117,12.0,9,0.53862804174423218
0.525304,-0.706807,0.0770457,42.0,10,0.52530401945114136
0.643857,-0.866955,0.132594,21.0,11,0.64385747909545898
0.614101,-0.827793,0.200349,0.0,13,0.61410069465637207
0.602311,-0.812492,0.233499,0.0,14,0.60231077671051025
0.614059,-0.828944,0.276419,1.0,15,0.61405855417251587
0.542944,-0.735087,0.0159515,20.0,8,0.54294401407241821
0.526607,-0.713491,0.0464743,9.0,9,0.5266074538230896
0.528623,-0.716745,0.0779172,40.0,10,0.52862286567687988
0.644361,-0.87399,0.133325,21.0,11,0.64436131715774536
0.606407,-0.823714,0.198823,0.0,13,0.60640686750411987
0.597019,-0.811555,0.232599,0.0,14,0.5970192551612854
0.618028,-0.840421,0.279525,1.0,15,0.61802828311920166
0.555614,-0.758039,0.0164053,10.0,8,0.55561411380767822
0.507588,-0.692769,0.0450089,3.0,9,0.50758755207061768
0.522587,-0.713763,0.0773943,42.0,10,0.52258676290512085
0.638809,-0.873142,0.132838,21.0,11,0.63880938291549683
0.601211,-0.822655,0.19806,0.0,13,0.60121113061904907
0.59878,-0.819929,0.234399,0.0,14,0.59877991676330566
0.617369,-0.845694,0.28056,1.0,15,0.61736899614334106
0.555451,-0.763111,0.0164751,1.0,8,0.55545103549957275
0.486369,-0.668693,0.0433342,2.0,9,0.48636946082115173
0.520092,-0.715583,0.0773943,42.0,10,0.52009207010269165
0.637077,-0.876862,0.133081,17.0,11,0.63707715272903442
0.600786,-0.827822,0.198823,0.0,13,0.60078603029251099
0.589193,-0.812445,0.2317,0.0,14,0.58919322490692139
0.589474,-0.813429,0.269172,1.0,15,0.58947396278381348
0.552784,-0.765046,0.0164751,3.0,8,0.5527837872505188
0.491047,-0.680103,0.0439622,1.0,9,0.49104723334312439
0.520048,-0.720534,0.0777429,40.0,10,0.52004826068878174
0.624723,-0.8662,0.131131,14.0,11,0.62472295761108398
0.674492,-0.935895,0.182715,1.0,12,0.67449229955673218
0.588712,-0.817171,0.19577,0.0,13,0.58871209621429443
0.595462,-0.827149,0.235299,0.0,14,0.59546208381652832
0.582118,-0.809209,0.267101,1.0,15,0.5821184515953064
0.553606,-0.771845,0.0165798,10.0,8,0.55360645055770874
0.502632,-0.701293,0.0452183,9.0,9,0.50263220071792603
0.523332,-0.730443,0.0786145,37.0,10,0.52333199977874756
0.612451,-0.855462,0.129182,10.0,11,0.61245101690292358
0.648234,-0.906112,0.176458,1.0,12,0.64823424816131592
0.574436,-0.803252,0.191954,1.0,13,0.57443583011627197
0.574443,-0.803854,0.2281,0.0,14,0.57444280385971069
0.572554,-0.801803,0.263995,1.0,15,0.57255429029464722
0.538151,-0.755854,0.0161958,18.0,8,0.53815090656280518
0.487445,-0.685142,0.0440669,28.0,9,0.48744511604309082
0.523088,-0.735513,0.0789631,36.0,10,0.52308845520019531
0.612911,-0.862449,0.129913,8.0,11,0.6129109263420105
0.63363,-0.892263,0.173329,2.0,12,0.63363003730773926
0.58072,-0.818059,0.195007,1.0,13,0.58072000741958618
0.587418,-0.828107,0.234399,0.0,14,0.58741813898086548
0.569752,-0.803797,0.263995,1.0,15,0.569752037525177
0.54705,-0.774058,0.0165449,17.0,8,0.5470503568649292
0.486203,-0.688471,0.0441716,42.0,9,0.48620271682739258
0.520518,-0.737334,0.0789631,34.0,10,0.52051782608032227
0.61333,-0.86945,0.130644,6.0,11,0.61332952976226807
0.621407,-0.881553,0.170826,2.0,12,0.6214066743850708
0.573337,-0.813662,0.19348,1.0,13,0.57333749532699585
0.566573,-0.804658,0.227201,0.0,14,0.56657302379608154
0.566943,-0.805781,0.263995,1.0,15,0.56694269180297852
0.531713,-0.757956,0.0161609,18.0,8,0.53171259164810181
0.488382,-0.696705,0.0445902,45.0,9,0.48838230967521667
0.514511,-0.734252,0.0784402,31.0,10,0.51451075077056885
0.6843,-0.977282,0.146487,4.0,11,0.68429994583129883
0.628518,-0.898284,0.173642,3.0,12,0.62851786613464355
0.568243,-0.812441,0.192717,1.0,13,0.56824332475662231
0.563761,-0.806631,0.227201,0.0,14,0.56376075744628906
0.55749,-0.798252,0.26089,1.0,15,0.55748975276947021
0.529064,-0.759807,0.0161609,18.0,8,0.52906358242034912
0.493932,-0.709882,0.0453229,40.0,9,0.49393239617347717
0.517633,-0.744222,0.0793117,24.0,10,0.51763290166854858
0.874614,-1.2584,0.188166,8.0,11,0.87461358308792114
0.625378,-0.900472,0.173642,5.0,12,0.62537848949432373
0.554208,-0.798292,0.188901,1.0,13,0.55420780181884766
0.569828,-0.821404,0.2308,0.0,14,0.56982791423797607
0.559102,-0.806544,0.26296,1.0,15,0.55910223722457886
0.527545,-0.763294,0.0161958,18.0,8,0.52754509449005127
0.484764,-0.701657,0.0446949,45.0,9,0.48476395010948181
0.517296,-0.749303,0.0796603,21.0,10,0.51729583740234375
0.875852,-1.26962,0.189385,21.0,11,0.87585163116455078
0.616782,-0.89441,0.172078,7.0,12,0.61678189039230347
0.558102,-0.809921,0.191191,1.0,13,0.55810171365737915
0.553695,-0.804127,0.225401,1.0,14,0.55369508266448975
0.556425,-0.808393,0.26296,1.0,15,0.55642461776733398
0.522748,-0.761742,0.016126,18.0,8,0.52274799346923828
0.477794,-0.696756,0.0442762,43.0,9,0.47779363393783569
0.518056,-0.756035,0.0801833,20.0,10,0.51805573701858521
0.869393,-1.26924,0.188898,33.0,11,0.86939305067062378
0.631508,-0.922639,0.177084,5.0,12,0.63150787353515625
0.55763,-0.815008,0.191954,1.0,13,0.55763006210327148
0.546626,-0.799524,0.223601,0.0,14,0.54662597179412842
0.555779,-0.813521,0.263995,1.0,15,0.55577898025512695
0.49532,-0.727202,0.0153581,25.0,8,0.49531987309455872
0.479977,-0.70494,0.0446949,45.0,9,0.47997674345970154
0.509942,-0.749512,0.0793117,16.0,10,0.50994199514389038
0.869422,-1.27883,0.189872,49.0,11,0.86942172050476074
0.858282,-1.26292,0.241848,9.0,12,0.85828244686126709
0.556988,-0.820198,0.192717,1.0,13,0.55698764324188232
0.548209,-0.807877,0.225401,1.0,14,0.54820877313613892
0.544402,-0.802569,0.259854,1.0,15,0.54440248012542725
0.46826,-0.692398,0.0145902,41.0,8,0.46826034784317017
0.483105,-0.714885,0.0452183,47.0,9,0.48310461640357971
0.502863,-0.744683,0.0786145,15.0,10,0.50286269187927246
0.856291,-1.26855,0.187923,50.0,11,0.85629111528396606
0.853869,-1.26591,0.241848,21.0,12,0.85386872291564941
0.543289,-0.805763,0.188901,1.0,13,0.54328912496566772
0.545527,-0.809691,0.225401,1.0,14,0.54552668333053589
0.543755,-0.80767,0.26089,1.0,15,0.54375541210174561
0.455573,-0.679245,0.0142761,49.0,8,0.45557346940040588
0.485916,-0.725031,0.0457416,42.0,9,0.48591578006744385
0.523418,-0.781282,0.082275,13.0,10,0.52341753244400024
0.835954,-1.24873,0.18451,51.0,11,0.83595371246337891
0.847903,-1.26754,0.241535,33.0,12,0.84790337085723877
0.522731,-0.781731,0.182795,2.0,13,0.52273052930831909
0.538083,-0.805298,0.223601,1.0,14,0.53808301687240601
0.542796,-0.812965,0.261925,1.0,15,0.54279559850692749
0.448767,-0.674172,0.0141364,51.0,8,0.44876742362976074
0.473427,-0.711756,0.0447996,38.0,9,0.47342672944068909
0.556945,-0.837952,0.0880273,15.0,10,0.55694484710693359
0.827196,-1.24503,0.183535,51.0,11,0.82719564437866211
0.841289,-1.2672,0.240909,38.0,12,0.84128850698471069
0.537227,-0.809817,0.188901,1.0,13,0.53722673654556274
0.536205,-0.808889,0.224051,1.0,14,0.53620457649230957
0.535686,-0.808413,0.259854,1.0,15,0.53568613529205322
0.455109,-0.689162,0.0144157,52.0,8,0.45510914921760559
0.468615,-0.710152,0.0445902,14.0,9,0.46861478686332703
0.552919,-0.838228,0.087853,14.0,10,0.55291944742202759
0.818257,-1.24142,0.18256,45.0,11,0.81825685501098633
0.827946,-1.25708,0.238406,49.0,12,0.8279460072517395
0.532238,-0.808408,0.188138,2.0,13,0.53223752975463867
0.526952,-0.800988,0.221352,1.0,14,0.52695155143737793
0.53272,-0.810371,0.259854,1.0,15,0.53271955251693726
0.451605,-0.689074,0.0143808,44.0,8,0.45160460472106934
0.48364,-0.738517,0.046265,6.0,9,0.4836404025554657
0.513979,-0.785143,0.0821007,11.0,10,0.51397883892059326
0.820439,-1.25424,0.184023,53.0,11,0.8204386830329895
0.814907,-1.24673,0.235903,51.0,12,0.81490671634674072
0.519748,-0.795469,0.184703,3.0,13,0.51974761486053467
0.523087,-0.801191,0.220902,1.0,14,0.52308696508407593
0.519332,-0.796046,0.254678,1.0,15,0.51933199167251587
0.439384,-0.675559,0.0140666,35.0,8,0.43938395380973816
0.485413,-0.746899,0.0466837,13.0,9,0.48541298508644104
0.517748,-0.796957,0.0831466,11.0,10,0.51774764060974121
0.805247,-1.24045,0.181585,45.0,11,0.80524688959121704
0.8084,-1.24625,0.235277,53.0,12,0.80839979648590088
0.513763,-0.792337,0.183558,5.0,13,0.51376348733901978
0.524526,-0.809554,0.222702,1.0,14,0.52452576160430908
0.512351,-0.791367,0.252607,1.0,15,0.51235055923461914
0.444614,-0.688849,0.014311,8.0,8,0.44461414217948914
0.487133,-0.755303,0.0471024,23.0,9,0.48713293671607971
0.516042,-0.800434,0.0833209,11.0,10,0.51604217290878296
0.788011,-1.22322,0.17866,26.0,11,0.78801137208938599
0.806183,-1.25239,0.235903,57.0,12,0.8061830997467041
0.506745,-0.787521,0.182032,2.0,13,0.50674515962600708
0.523805,-0.814658,0.223601,1.0,14,0.52380454540252686
0.509585,-0.793151,0.252607,1.0,15,0.50958508253097534
0.459464,-0.71734,0.0148695,3.0,8,0.4594636857509613
0.477087,-0.74514,0.0463697,37.0,9,0.47708699107170105
0.511097,-0.798874,0.0829723,7.0,10,0.51109743118286133
0.778391,-1.2176,0.177442,7.0,11,0.77839064598083496
0.796707,-1.24673,0.234339,54.0,12,0.79670703411102295
0.499767,-0.782667,0.180505,2.0,13,0.49976667761802673
0.50209,-0.78691,0.215503,1.0,14,0.5020899772644043
0.511107,-0.801352,0.254678,2.0,15,0.51110744476318359
0.453864,-0.713797,0.0147647,25.0,8,0.45386350154876709
0.474483,-0.746801,0.0463697,45.0,9,0.47448304295539856
0.497627,-0.783832,0.0812292,10.0,10,0.4976271390914917
0.781794,-1.23191,0.179148,5.0,11,0.78179436922073364
0.784945,-1.23783,0.232149,57.0,12,0.78494507074356079
0.501373,-0.790952,0.182032,2.0,13,0.50137299299240112
0.505734,-0.798449,0.218203,1.0,14,0.50573420524597168
0.504174,-0.796601,0.252607,2.0,15,0.50417447090148926
0.447101,-0.708612,0.0146251,33.0,8,0.44710090756416321
0.476266,-0.755128,0.0467883,45.0,9,0.47626578807830811
0.495025,-0.785478,0.0812292,8.0,10,0.49502509832382202
0.771143,-1.22455,0.177686,19.0,11,0.77114254236221313
0.768208,-1.22037,0.228394,56.0,12,0.76820802688598633
0.50279,-0.799345,0.183558,2.0,13,0.50279021263122559
0.501907,-0.798559,0.217753,2.0,14,0.50190705060958862
0.487142,-0.775368,0.24536,1.0,15,0.48714187741279602
0.446872,-0.71348,0.0146949,43.0,8,0.4468715488910675
0.478925,-0.765251,0.0473117,39.0,9,0.47892481088638306
0.491224,-0.785512,0.0810548,11.0,10,0.49122384190559387
0.759712,-1.21532,0.175979,34.0,11,0.7597118616104126
0.76499,-1.22472,0.228707,59.0,12,0.76498991250991821
0.489739,-0.784355,0.179742,2.0,13,0.48973876237869263
0.500288,-0.801873,0.218203,1.0,14,0.50028771162033081
0.404231,-0.648163,-0.0133336,2.0,7,0.40423125028610229
0.490565,-0.7869,0.248466,1.0,15,0.49056452512741089
0.438045,-0.704845,0.0144855,50.0,8,0.43804511427879333
0.477304,-0.768614,0.0474164,45.0,9,0.4773043692111969
0.490718,-0.790522,0.0814035,10.0,10,0.49071791768074036
0.750233,-1.20953,0.174761,48.0,11,0.75023317337036133
0.75967,-1.2257,0.228394,59.0,12,0.75966954231262207
0.486998,-0.78606,0.179742,2.0,13,0.48699784278869629
0.506717,-0.818527,0.222252,1.0,14,0.5067172646522522
0.411437,-0.664874,-0.0136478,12.0,7,0.41143667697906494
0.474603,-0.767249,0.241737,3.0,15,0.47460302710533142
0.44083,-0.71488,0.01466,43.0,8,0.44083002209663391
0.46938,-0.761774,0.046893,44.0,9,0.46937990188598633
0.491995,-0.799102,0.0821007,10.0,10,0.49199548363685608
0.740804,-1.20369,0.173542,50.0,11,0.74080443382263184
0.751247,-1.22161,0.227143,59.0,12,0.75124728679656982
0.484114,-0.787839,0.179742,2.0,13,0.48411351442337036
0.497596,-0.810414,0.219552,2.0,14,0.49759581685066223
0.411206,-0.669715,-0.0137176,17.0,7,0.41120591759681702
0.489101,-0.796891,0.250537,2.0,15,0.48910108208656311
0.443424,-0.725021,0.0148345,45.0,8,0.44342359900474548
0.471927,-0.771928,0.0474164,46.0,9,0.47192680835723877
0.490242,-0.802515,0.082275,8.0,10,0.49024176597595215
0.732251,-1.19962,0.172567,49.0,11,0.7322506308555603
0.73669,-1.20737,0.224014,61.0,12,0.73668962717056274
0.475229,-0.779467,0.177452,3.0,13,0.47522863745689392
0.491722,-0.807154,0.218203,2.0,14,0.49172231554985046
0.404704,-0.664315,-0.013578,23.0,7,0.40470421314239502
0.485312,-0.796944,0.250019,2.0,15,0.48531162738800049
0.442055,-0.728197,0.0148695,45.0,8,0.44205465912818909
0.471301,-0.776986,0.0476257,42.0,9,0.47130104899406433
0.489503,-0.807629,0.0826236,8.0,10,0.48950287699699402
0.731354,-1.20713,0.173298,53.0,11,0.73135441541671753
0.724287,-1.19641,0.221511,61.0,12,0.72428661584854126
0.47874,-0.791116,0.179742,1.0,13,0.47873976826667786
0.487026,-0.805445,0.217303,2.0,14,0.48702627420425415
0.391004,-0.646898,-0.013194,28.0,7,0.39100444316864014
0.472537,-0.782098,0.244843,3.0,15,0.47253674268722534
0.435383,-0.722884,0.0147298,43.0,8,0.43538326025009155
0.472706,-0.785471,0.0480444,43.0,9,0.47270554304122925
0.48066,-0.799004,0.0815778,7.0,10,0.48065972328186035
0.719977,-1.19777,0.171592,49.0,11,0.71997737884521484
0.72214,-1.20232,0.222137,60.0,12,0.72214013338088989
0.465734,-0.776032,0.175926,1.0,13,0.46573424339294434
0.489224,-0.815495,0.219552,2.0,14,0.48922446370124817
0.393886,-0.656834,-0.0133685,27.0,7,0.39388608932495117
0.463844,-0.773801,0.241737,3.0,15,0.46384426951408386
0.431705,-0.722758,0.0146949,43.0,8,0.43170538544654846
0.471871,-0.790629,0.0482538,46.0,9,0.47187060117721558
0.492019,-0.824715,0.0840181,6.0,10,0.49201887845993042
0.694237,-1.16459,0.166474,42.0,11,0.69423705339431763
0.717729,-1.20496,0.222137,59.0,12,0.71772861480712891
0.474936,-0.797979,0.180505,1.0,13,0.47493591904640198
0.48125,-0.808909,0.217303,2.0,14,0.48125028610229492
0.391476,-0.658273,-0.0133685,27.0,7,0.39147600531578064
0.459031,-0.772175,0.240702,3.0,15,0.45903077721595764
0.431092,-0.727776,0.0147647,43.0,8,0.43109166622161865
0.463002,-0.781959,0.0476257,48.0,9,0.46300235390663147
0.484935,-0.819654,0.0833209,4.0,10,0.48493489623069763
0.682892,-1.15517,0.164767,49.0,11,0.68289244174957275
0.707488,-1.19725,0.22026,62.0,12,0.70748847723007202
0.472148,-0.799632,0.180505,1.0,13,0.47214755415916443
0.474321,-0.803954,0.215503,2.0,14,0.47432136535644531
0.395273,-0.66997,-0.013578,31.0,7,0.39527258276939392
0.464183,-0.787084,0.244843,3.0,15,0.46418341994285583
0.433743,-0.737821,0.0149393,47.0,8,0.43374297022819519
0.469374,-0.79907,0.0485678,45.0,9,0.46937417984008789
0.481062,-0.819623,0.0831466,3.0,10,0.48106226325035095
0.690108,-1.17626,0.167448,54.0,11,0.69010782241821289
0.697311,-1.18949,0.218383,61.0,12,0.69731086492538452
0.465523,-0.794417,0.178979,1.0,13,0.46552300453186035
0.466729,-0.797114,0.213254,4.0,14,0.46672949194908142
0.384851,-0.657539,-0.0132987,33.0,7,0.38485062122344971
0.460458,-0.787032,0.244325,3.0,15,0.46045759320259094
0.436202,-0.747968,0.0151138,40.0,8,0.43620181083679199
0.468593,-0.804155,0.0487771,45.0,9,0.46859320998191833
0.479344,-0.822935,0.0833209,3.0,10,0.47934445738792419
0.687995,-1.18209,0.167936,46.0,11,0.68799471855163574
0.68521,-1.17825,0.21588,59.0,12,0.68521004915237427
0.462747,-0.796037,0.178979,1.0,13,0.46274706721305847
0.466881,-0.803794,0.214603,2.0,14,0.46688050031661987
0.378537,-0.651961,-0.0131591,35.0,7,0.37853682041168213
0.442192,-0.761902,0.236043,3.0,15,0.44219210743904114
0.428582,-0.740831,0.0149393,47.0,8,0.42858156561851501
0.471781,-0.816161,0.0494052,39.0,9,0.47178059816360474
0.468495,-0.810803,0.0819264,2.0,10,0.46849459409713745
0.683864,-1.18449,0.167936,42.0,11,0.68386423587799072
0.685041,-1.18748,0.217131,60.0,12,0.68504124879837036
0.47958,-0.831663,0.186611,1.0,13,0.47958031296730042
0.467963,-0.812172,0.216403,2.0,14,0.46796348690986633
0.385241,-0.668874,-0.0134733,36.0,7,0.38524103164672852
0.441458,-0.766789,0.237078,3.0,15,0.44145762920379639
0.423007,-0.737119,0.0148345,52.0,8,0.42300698161125183
0.465948,-0.812605,0.0490911,37.0,9,0.46594828367233276
0.475569,-0.829719,0.0836695,2.0,10,0.47556924819946289
0.667887,-1.1662,0.165011,41.0,11,0.66788715124130249
0.676968,-1.18301,0.21588,59.0,12,0.67696774005889893
0.476674,-0.833332,0.186611,1.0,13,0.47667431831359863
0.452555,-0.791806,0.210554,3.0,14,0.45255464315414429
0.389848,-0.682368,-0.0137176,31.0,7,0.38984769582748413
0.43303,-0.75826,0.233972,3.0,15,0.43303009867668152
0.424388,-0.745543,0.0149742,43.0,8,0.4243883490562439
0.459159,-0.807282,0.0486724,38.0,9,0.45915919542312622
0.478578,-0.841766,0.0847154,2.0,10,0.47857844829559326
0.654007,-1.15126,0.162574,38.0,11,0.65400707721710205
0.672834,-1.18537,0.21588,60.0,12,0.67283403873443604
0.448827,-0.791686,0.210104,3.0,14,0.44882693886756897
0.38352,-0.676766,-0.013578,29.0,7,0.38351976871490479
0.439902,-0.776576,0.239149,3.0,15,0.43990233540534973
0.425716,-0.753985,0.0151138,40.0,8,0.4257161021232605
0.460264,-0.815838,0.0490911,33.0,9,0.46026387810707092
0.487381,-0.864257,0.0868071,1.0,10,0.48738127946853638
0.654857,-1.16218,0.163792,42.0,11,0.65485686063766479
0.664816,-1.18082,0.214628,60.0,12,0.66481572389602661
0.44224,-0.786453,0.208305,3.0,14,0.44224002957344055
0.379195,-0.674614,-0.0135082,29.0,7,0.37919536232948303
0.436243,-0.776422,0.238631,3.0,15,0.43624266982078552
0.428944,-0.765935,0.0153232,39.0,8,0.4289441704750061
0.459364,-0.820925,0.0493005,35.0,9,0.45936384797096252
0.47269,-0.845087,0.0847154,2.0,10,0.47269025444984436
0.650796,-1.16446,0.163792,49.0,11,0.65079605579376221
0.652985,-1.16934,0.212125,62.0,12,0.65298497676849365
0.437594,-0.784589,0.207405,2.0,14,0.43759363889694214
0.376838,-0.675934,-0.0135082,29.0,7,0.37683826684951782
0.426006,-0.76444,0.23449,3.0,15,0.42600646615028381
0.417529,-0.751694,0.0150091,35.0,8,0.41752892732620239
0.456496,-0.822524,0.0493005,35.0,9,0.45649558305740356
0.47457,-0.855443,0.0855869,2.0,10,0.47457012534141541
0.646727,-1.16673,0.163792,56.0,11,0.64672732353210449
0.645071,-1.1647,0.210874,62.0,12,0.64507091045379639
0.434852,-0.786111,0.207405,2.0,14,0.43485221266746521
0.374476,-0.677245,-0.0135082,29.0,7,0.37447649240493774
0.423335,-0.765923,0.23449,3.0,15,0.42333543300628662
0.406218,-0.737384,0.0146949,25.0,8,0.40621849894523621
0.453622,-0.824112,0.0493005,34.0,9,0.45362162590026855
0.478304,-0.869313,0.0868071,0.0,10,0.47830426692962646
0.632131,-1.14984,0.161111,58.0,11,0.63213121891021729
0.64005,-1.16521,0.210561,65.0,12,0.64005047082901001
0.336338,-0.612809,-0.0366352,8.0,6,0.33633774518966675
0.427419,-0.779082,0.205155,2.0,14,0.42741888761520386
0.377879,-0.689068,-0.0137176,25.0,7,0.37787935137748718
0.419731,-0.765702,0.233972,3.0,15,0.41973066329956055
0.406518,-0.744062,0.0147996,10.0,8,0.40651842951774597
0.451699,-0.827444,0.0494052,30.0,9,0.45169913768768311
0.509624,-0.93394,0.0930823,1.0,10,0.50962352752685547
0.624313,-1.14507,0.160136,59.0,11,0.6243126392364502
0.639759,-1.17438,0.211812,63.0,12,0.63975918292999268
0.347564,-0.638538,-0.0381006,7.0,6,0.34756442904472351
0.427491,-0.785704,0.206505,1.0,14,0.42749089002609253
0.379293,-0.69741,-0.0138572,24.0,7,0.37929332256317139
0.428128,-0.787529,0.240184,1.0,15,0.42812767624855042
0.451661,-0.834285,0.0497192,26.0,9,0.4516606330871582
0.501619,-0.926952,0.0922108,1.0,10,0.50161927938461304
0.617479,-1.142,0.159405,63.0,11,0.61747932434082031
0.626267,-1.15922,0.208684,65.0,12,0.62626659870147705
0.332051,-0.615142,-0.0366352,8.0,6,0.33205133676528931
0.404387,-0.749461,0.196607,1.0,14,0.40438747406005859
0.369263,-0.684649,-0.013578,25.0,7,0.36926257610321045
0.421709,-0.782217,0.238114,1.0,15,0.42170900106430054
0.455359,-0.848174,0.0504519,21.0,9,0.45535886287689209
0.491786,-0.916408,0.0909906,0.0,10,0.49178564548492432
0.614427,-1.1459,0.159649,58.0,11,0.61442720890045166
0.616619,-1.15095,0.206806,63.0,12,0.61661911010742188
0.320476,-0.598689,-0.0355885,8.0,6,0.32047626376152039
0.405446,-0.757741,0.198407,1.0,14,0.40544641017913818
0.372529,-0.696514,-0.0137874,27.0,7,0.37252908945083618
0.409868,-0.766648,0.232937,2.0,15,0.4098677933216095
0.458965,-0.862099,0.0511846,12.0,9,0.45896545052528381
0.507304,-0.953296,0.0944768,0.0,10,0.50730353593826294
0.606696,-1.14103,0.158674,61.0,11,0.60669583082199097
0.608891,-1.14612,0.205555,67.0,12,0.60889065265655518
0.342732,-0.645671,-0.0383099,7.0,6,0.34273159503936768
0.380878,-0.717838,0.187609,1.0,14,0.38087788224220276
0.363537,-0.685444,-0.0135431,27.0,7,0.36353686451911926
0.365565,-0.68956,0.209126,2.0,15,0.36556538939476013
0.458751,-0.868995,0.0514986,8.0,9,0.45875057578086853
0.563482,-1.06784,0.105633,0.0,10,0.56348246335983276
0.597154,-1.1326,0.157211,59.0,11,0.59715431928634644
0.604886,-1.14824,0.205555,68.0,12,0.60488635301589966
